rank,operator
1,E-E
1,F-F!
1,V-V
1,"ve_e-ve_e,ve_c-ve_c"
1,"vf-vf,vf-vf!"
1,"fe-fe,fe-fe!"
2,F-V
2,"E-E,E-F"
2,"E-E,E-V"
2,"E-vf,vf-vf"
2,"E-vf,vf-vf!"
2,"F-F!,F-V"
2,"F-V,V-V"
2,"F-ve,ve_e-ve_e"
2,"F-ve,ve_c-ve_c"
2,"F-vf,vf-vf!"
2,"V-vf,vf-vf"
2,"fe-V,fe-fe"
2,"fe-V,fe-fe!"
2,"E-E,E-ve,ve_c-ve_c"
2,"E-E,E-fe,fe-fe"
2,"E-vf,vf-vf,vf-vf!"
2,"F-F!,F-ve,ve_c-ve_c"
2,"F-F!,F-vf,vf-vf!"
2,"F-ve,ve_e-ve_e,ve_c-ve_c"
2,"F-vf,vf-vf,vf-vf!"
2,"F-fe,fe-fe,fe-fe!"
2,"V-V,V-vf,vf-vf"
2,"V-V,fe-V,fe-fe"
2,"V-ve,ve_e-ve_e,ve_c-ve_c"
2,"V-vf,vf-vf,vf-vf!"
2,"fe-V,fe-fe,fe-fe!"
2,"ve_e-ve_e,ve-vf,vf-vf"
2,"ve_e-ve_e,fe-ve,fe-fe"
2,"ve_c-ve_c,ve-vf,vf-vf"
2,"ve_c-ve_c,fe-ve,fe-fe"
2,"ve_c-ve_c,fe-ve,fe-fe!"
2,"vf-vf!,fe-vf,fe-fe"
2,"vf-vf!,fe-vf,fe-fe!"
2,"ve_e-ve_e,ve_c-ve_c,ve-vf,vf-vf"
2,"ve_e-ve_e,ve_c-ve_c,fe-ve,fe-fe"
2,"ve_c-ve_c,fe-ve,fe-fe,fe-fe!"
2,"vf-vf!,fe-vf,fe-fe,fe-fe!"
3,"E-F,E-V"
3,"E-vf,F-vf"
3,"E-vf,V-vf"
3,"F-ve,V-ve"
3,"F-fe,fe-V"
3,"E-E,E-F,E-V"
3,"E-F,E-V,F-V"
3,"E-F,E-ve,F-ve"
3,"E-F,E-ve,ve_c-ve_c"
3,"E-F,E-vf,F-vf"
3,"E-F,E-vf,vf-vf!"
3,"E-V,E-vf,V-vf"
3,"E-V,E-vf,vf-vf"
3,"E-V,E-fe,fe-V"
3,"E-V,E-fe,fe-fe"
3,"E-ve,E-vf,ve-vf"
3,"E-vf,E-fe,fe-vf"
3,"E-vf,F-vf,vf-vf"
3,"E-vf,F-vf,vf-vf!"
3,"E-vf,V-vf,vf-vf"
3,"E-vf,V-vf,vf-vf!"
3,"E-vf,ve_c-ve_c,ve-vf"
3,"E-vf,fe-vf,fe-fe"
3,"F-F!,F-ve,V-ve"
3,"F-V,F-ve,V-ve"
3,"F-V,F-ve,ve_e-ve_e"
3,"F-V,F-fe,fe-V"
3,"F-V,fe-V,fe-fe!"
3,"F-ve,F-vf,ve-vf"
3,"F-ve,F-fe,fe-ve"
3,"F-ve,V-ve,ve_e-ve_e"
3,"F-ve,V-ve,ve_c-ve_c"
3,"F-ve,fe-ve,fe-fe!"
3,"F-vf,V-vf,vf-vf"
3,"F-vf,V-vf,vf-vf!"
3,"F-vf,ve_e-ve_e,ve-vf"
3,"F-vf,ve_c-ve_c,ve-vf"
3,"F-vf,fe-vf,fe-fe!"
3,"F-fe,V-V,fe-V"
3,"F-fe,fe-V,fe-fe"
3,"F-fe,fe-V,fe-fe!"
3,"F-fe,ve_e-ve_e,fe-ve"
3,"F-fe,ve_c-ve_c,fe-ve"
3,"F-fe,vf-vf!,fe-vf"
3,"V-ve,fe-V,fe-ve"
3,"V-ve,ve-vf,vf-vf"
3,"V-ve,fe-ve,fe-fe"
3,"V-ve,fe-ve,fe-fe!"
3,"V-vf,fe-V,fe-vf"
3,"V-vf,ve_e-ve_e,ve-vf"
3,"V-vf,fe-vf,fe-fe"
3,"V-vf,fe-vf,fe-fe!"
3,"fe-V,ve_e-ve_e,fe-ve"
3,"ve-vf,fe-ve,fe-vf"
3,"E-E,E-F,E-ve,ve_c-ve_c"
3,"E-E,E-V,E-fe,fe-fe"
3,"E-E,E-ve,V-ve,ve_c-ve_c"
